Metric,Value
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.19903
design_powergrid__drop__average__net:VPWR__corner:nom_typ_1p20V_25C,1.19969
design_powergrid__drop__worst__net:VPWR__corner:nom_typ_1p20V_25C,0.000970327
design_powergrid__voltage__worst__net:VGND__corner:nom_typ_1p20V_25C,0.00106101
design_powergrid__drop__average__net:VGND__corner:nom_typ_1p20V_25C,0.000296057
design_powergrid__drop__worst__net:VGND__corner:nom_typ_1p20V_25C,0.00106101
design_powergrid__voltage__worst,0.00106101
design_powergrid__voltage__worst__net:VPWR,1.19903
design_powergrid__drop__worst,0.00106101
design_powergrid__drop__worst__net:VPWR,0.000970327
design_powergrid__voltage__worst__net:VGND,0.00106101
design_powergrid__drop__worst__net:VGND,0.00106101
ir__voltage__worst,1.1999999999999999555910790149937383830547332763671875
ir__drop__avg,0.0003049999999999999868334488173360341534134931862354278564453125
ir__drop__worst,0.000970000000000000050549842089964158731163479387760162353515625
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
